@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2023/10/15 21:08:41:021',1,230.378723,411.578674,-0.001121,287.079468,381.773956,-3.307026,319.146149,335.034729,-3.638933,330.300262,294.734741,-5.353858,338.627258,268.130615,-6.774597,286.76181,261.814545,7.842316,299.183197,214.508087,8.367823,308.764679,182.005325,6.787729,318.021637,155.647903,4.674901,254.912766,252.941055,4.98562,261.504395,199.333847,6.172758,271.199188,162.783813,3.772047,280.222473,136.565414,1.759619,225.45192,255.508255,0.253584,224.326202,204.146591,-0.085861,232.211731,167.506683,-1.809691,241.998779,139.795227,-3.22891,195.500198,268.862396,-5.654316,187.14418,226.46875,-7.454493,188.669342,195.771469,-9.439085,193.716034,168.695618,-11.13723,1
2,'2023/10/15 21:08:41:093',1,305.909637,414.454529,-0.000968,274.42749,392.290131,-18.434553,258.588562,356.69043,-25.554419,257.151062,324.096954,-30.434765,258.304016,294.959595,-35.728634,262.175568,267.245728,-10.368572,260.335938,212.705109,-12.129548,267.785034,180.499542,-15.271254,277.049683,153.756836,-18.133585,293.41983,257.834686,-4.179796,298.188843,195.627243,-4.523419,311.523956,163.238312,-7.926057,321.949768,135.361572,-10.958755,319.454407,259.717712,0.050049,328.723267,207.339737,-1.141913,341.944366,178.347549,-5.318033,350.092834,153.326157,-8.793011,341.008942,269.847046,2.236516,354.673004,231.843414,0.684467,367.703064,210.017487,-2.076662,376.695343,188.222778,-4.281771,1
3,'2023/10/15 21:08:41:229',1,309.898895,422.468536,-0.001264,263.679077,382.822266,-11.33869,247.233398,333.306213,-15.503912,247.048508,288.514984,-18.858337,248.194717,251.648514,-22.364737,272.106567,268.378387,-3.12298,275.940155,215.335709,-4.99657,281.726501,179.429199,-9.077006,288.610229,148.195282,-13.124605,301.598389,263.270569,-2.13115,309.533813,207.106216,-3.198837,319.726593,166.785446,-8.023225,331.667358,134.546539,-12.638206,326.792664,271.548584,-2.894959,338.966888,223.285843,-5.670537,352.304169,187.325562,-11.842061,364.383759,158.24054,-17.319386,347.878571,292.665039,-5.124653,363.400024,258.861847,-8.602896,376.230896,235.021729,-12.93048,388.330536,211.759125,-16.900665,1
4,'2023/10/15 21:08:41:372',1,309.888763,427.719727,-0.001274,265.107178,383.914978,-6.762341,251.854584,331.407349,-8.401841,257.088318,283.156494,-9.868245,259.834656,247.763474,-11.532412,277.889252,277.962036,1.766711,276.973572,225.574783,1.010328,277.972504,186.793076,-1.892531,279.610779,151.647324,-4.948154,307.67984,271.393524,1.728295,313.142944,214.257767,2.046518,320.013184,169.413391,-1.218019,328.599945,131.922165,-4.636483,333.354919,279.202698,0.315618,344.598175,230.079971,-1.43932,355.237671,190.556503,-6.378867,365.560516,156.824066,-10.811151,354.235352,300.815216,-2.085728,368.199158,266.92981,-4.594093,378.581665,243.124847,-7.800743,389.578217,218.587311,-10.818423,1
5,'2023/10/15 21:08:41:374',1,309.662231,427.905579,-0.001494,264.162903,383.97937,-5.829154,250.759171,330.87677,-7.196571,258.894928,285.544189,-8.711865,265.425995,253.132156,-10.290474,279.415985,275.273376,3.859774,276.829163,224.193542,3.669239,277.028259,185.249435,1.237409,277.70166,150.376877,-1.505139,311.454681,268.757233,3.097753,316.666748,211.435059,4.049539,322.095795,165.82579,1.300555,328.176697,129.092178,-1.573305,339.137085,277.422974,0.804965,351.194458,226.87146,-0.817027,360.148407,186.631134,-5.11024,367.637085,152.980301,-8.760015,362.244446,301.143524,-2.46224,377.100891,265.471985,-5.164773,387.048309,240.179214,-8.091295,396.243958,214.654709,-10.61524,1
6,'2023/10/15 21:08:41:424',1,313.279053,430.125488,-0.001556,266.207977,389.173431,-9.208577,249.488785,334.518921,-12.292573,253.864441,285.253937,-15.072117,257.891571,248.154495,-17.928667,279.453461,275.118347,0.472566,277.756195,223.806259,-0.577464,278.494263,185.068878,-3.667402,279.797333,150.576065,-6.864261,312.813873,269.558777,0.695868,318.567719,213.67688,1.283173,324.649139,168.100357,-2.066845,331.711761,131.287598,-5.56228,341.140564,279.128052,-0.883622,353.952332,230.155869,-2.937144,364.111816,189.993851,-8.156247,373.2323,156.432281,-12.586802,364.969055,302.979797,-3.739178,380.698364,268.673401,-7.036128,391.619598,243.549423,-10.637565,402.481598,218.106216,-13.704872,1
7,'2023/10/15 21:08:41:476',1,310.064545,433.753143,-0.001456,264.206055,392.110657,-7.553172,251.741257,338.305756,-9.991654,257.890411,292.374207,-12.257307,259.501526,257.200989,-14.669328,280.650757,280.222992,-0.509059,279.20874,226.838013,-1.494558,280.429718,186.537399,-4.066226,281.999756,150.706818,-6.861752,314.348297,275.594116,-0.566206,320.124664,216.071289,-0.561351,327.29306,169.339096,-3.443845,334.734039,131.011719,-6.281346,343.650726,285.247162,-2.048275,356.592957,234.107468,-3.803254,368.184814,191.060333,-7.946751,377.992493,154.025513,-11.518465,368.031494,308.784576,-4.610259,387.475769,273.042847,-7.124398,402.019257,246.065598,-9.991661,415.456299,217.007294,-12.46264,1
8,'2023/10/15 21:08:41:693',1,311.817719,434.593506,-0.001529,264.179077,392.414337,-4.114022,254.789413,341.851471,-5.620496,262.960815,299.62149,-7.187329,265.124084,267.844208,-8.843115,286.707306,288.380524,-1.063652,286.835236,230.431961,-2.100993,287.665222,189.294037,-3.513095,288.869995,153.758743,-5.025946,317.803986,283.858337,-1.947574,324.042419,217.529388,-2.755531,330.344452,169.447769,-4.653227,336.600159,130.191025,-6.379528,345.153931,292.091736,-3.594948,357.049011,234.494904,-5.26108,367.644379,188.697922,-7.850545,376.29126,150.082703,-10.057606,367.946991,312.993988,-5.844637,387.274292,271.262146,-7.543422,402.368134,241.338608,-9.275572,415.351715,210.360123,-10.763986,1
9,'2023/10/15 21:08:41:695',1,312.649872,441.944305,-0.00126,270.403046,398.121368,-6.262852,265.811737,342.6091,-10.010174,274.644562,293.62439,-13.611149,274.434509,250.908218,-17.705784,299.678986,295.297028,-8.310951,303.911255,233.964767,-11.625123,307.799164,188.566177,-13.633641,310.688721,148.650177,-15.659586,330.569366,296.044952,-9.561758,341.027954,228.633026,-13.726525,349.129272,176.47934,-16.73012,356.413788,134.454391,-19.424505,357.674316,309.146667,-11.456409,374.603729,251.644333,-16.502016,386.814728,202.544662,-20.942726,395.836365,162.036682,-24.536169,379.922028,334.058014,-13.86235,401.713867,293.683136,-18.531355,415.641571,261.733765,-21.960873,426.674652,229.760529,-24.701836,1
10,'2023/10/15 21:08:41:756',1,316.584442,447.482574,-0.001301,277.813354,394.160645,-4.170577,271.653442,337.977142,-4.694622,277.882874,282.475342,-4.601236,276.846558,238.236206,-4.319335,302.345306,297.003387,-1.476186,308.289948,230.484238,-1.741131,314.656891,187.688522,-2.508795,321.192566,150.726212,-3.391747,334.444427,294.458374,-0.47096,346.513275,221.946716,-0.90344,359.060272,173.707321,-2.062962,371.747681,133.805237,-3.142944,360.916229,302.50531,0.087106,376.94928,240.38855,-0.750268,391.581543,197.28804,-2.814856,404.463104,161.367264,-4.715418,379.859802,320.455597,0.13937,398.034363,276.097656,-0.4786,410.197723,249.034409,-1.591415,421.892975,222.830032,-2.566565,1
