@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
1,'2023/10/21 14:52:01:495',2,358.369446,494.819275,-0.001629,414.749603,470.447357,-6.709526,459.139069,437.126678,-8.384278,494.264771,408.165955,-10.408578,523.932739,387.445221,-12.218028,440.978943,388.323792,3.488126,463.836365,348.090851,4.492169,476.003326,319.691315,3.808981,485.384155,295.109192,2.733504,414.402802,378.88797,4.209037,434.234711,333.365265,6.681838,444.920197,301.129669,6.044957,453.807465,274.117401,5.391789,387.787109,377.601257,3.250307,400.12442,337.614441,5.258533,407.49881,307.297729,5.317255,414.781311,281.741669,5.148369,360.243256,383.772919,0.982546,362.192108,351.703552,2.013481,362.811829,330.646423,2.360185,365.163086,309.46109,2.8532,2
2,'2023/10/21 14:52:01:894',2,370.006561,464.675476,-0.001459,423.842194,452.476593,-3.470606,463.78302,423.375519,-3.687928,494.420715,394.997833,-4.383275,516.070374,376.789856,-5.047122,437.648621,363.780334,6.248882,459.023163,324.555786,7.298228,470.576355,296.854004,6.150671,479.425415,273.734253,4.843874,409.993256,354.629822,6.034832,423.770325,308.873413,7.538338,432.622742,276.760986,5.332728,439.416565,252.00676,3.658164,384.124237,356.668121,4.486815,391.378265,315.75592,4.936455,396.472504,286.809174,3.015616,401.625244,264.936737,1.863113,358.588776,367.981293,2.269641,356.686371,337.128418,1.443624,356.89563,316.68515,0.228603,359.058197,297.701569,-0.136739,2
3,'2023/10/21 14:52:02:202',2,371.052277,457.315918,-0.001359,423.046631,449.703491,-2.456787,463.308044,424.91748,-2.54736,493.18335,398.041687,-3.064204,515.11438,380.467255,-3.185432,440.190857,362.954437,5.28545,457.432007,321.0177,6.34212,465.826782,292.538239,5.308507,471.409027,269.535065,3.975805,411.630249,353.773926,4.847359,424.855774,306.122589,5.838774,432.217224,273.79715,3.856491,436.666473,250.161743,2.297539,384.130798,355.445068,3.29593,392.063446,312.511536,3.729397,396.967621,284.424316,2.72527,401.476654,264.768768,2.227185,356.684906,365.759277,1.13951,355.303101,333.926147,0.724407,354.876953,314.170288,0.218848,356.505951,296.330658,0.371097,2
4,'2023/10/21 14:52:02:820',2,372.418304,457.939026,-0.001212,425.482971,452.011658,-2.418514,466.668213,428.692505,-2.707134,496.584473,402.509735,-3.239182,517.651917,384.497559,-3.30143,443.347076,363.56488,4.34357,460.224121,320.980103,5.195086,468.626892,292.056976,4.180992,474.103027,269.111267,2.95563,413.676453,353.967285,4.290791,426.733917,305.414093,5.146607,433.824707,272.776917,3.441668,437.842346,249.330597,2.067026,384.95285,355.372345,3.242075,392.674622,311.384033,3.831589,397.260712,283.153717,3.192242,401.240112,264.10614,2.902487,356.302246,365.302704,1.623148,354.861847,332.233154,1.43762,354.952484,312.031128,1.179607,356.995117,294.593781,1.502386,2
5,'2023/10/21 14:52:02:821',2,369.159851,460.520599,-0.001267,424.577972,457.76413,-5.390976,468.778687,437.536346,-5.622253,499.57901,414.99292,-5.953139,518.73822,400.215576,-5.521523,444.778412,366.887329,7.551464,465.506866,326.704498,10.629815,477.681702,299.203583,10.729484,486.100372,276.748505,10.020304,415.235992,355.750305,8.757778,432.003265,308.789337,12.875967,442.304138,276.120453,12.105892,449.117828,251.726715,11.427932,387.265564,355.99707,8.232986,397.258606,313.050964,11.152298,403.703796,283.982971,11.242676,408.917358,263.235718,11.631874,359.449371,365.090973,6.593373,357.367615,333.348785,7.717219,356.168884,312.944092,8.296384,356.642883,294.089203,9.591535,2
6,'2023/10/21 14:52:03:141',2,369.948029,459.363342,-0.001431,421.233765,457.001434,-7.402262,464.936859,436.334869,-9.173194,495.369293,413.300751,-10.984278,514.305237,398.42511,-12.132799,445.127563,366.806274,4.026551,465.328369,327.138275,5.268351,476.761322,299.602661,4.040461,484.852264,276.333527,2.420968,416.548248,355.191467,4.87326,432.963226,309.168335,6.783988,443.105652,276.75827,4.531508,450.231812,252.294739,2.887429,388.701233,354.99295,3.838344,398.606201,312.584381,4.645361,405.141479,284.170471,3.301052,410.821625,263.650238,2.814822,360.091217,364.106659,1.547388,357.531464,332.703766,0.975206,355.851837,312.43457,0.518251,356.398346,293.338654,1.078854,2
7,'2023/10/21 14:52:03:760',2,363.359589,457.109314,-0.001651,415.91394,448.30014,-3.855271,457.304443,423.138519,-4.018143,489.412933,396.628754,-4.644301,514.734741,379.899567,-4.878969,429.102142,364.344025,6.833864,447.167114,322.354675,8.683636,456.62381,293.114868,8.292822,463.181763,269.361633,7.512598,400.853088,354.81842,6.943329,414.356384,307.195953,9.607559,421.184784,272.855072,8.367111,425.90448,247.544708,7.297119,373.784149,355.414917,5.514762,380.526642,312.3367,7.313251,383.890869,282.157227,6.670818,387.197388,260.205688,6.295798,346.907928,364.297791,3.218763,340.685486,332.372101,3.531581,335.147461,311.437103,3.108711,332.19931,291.50061,3.261659,2
8,'2023/10/21 14:52:03:762',2,365.350037,459.578766,-0.001548,418.383118,448.70163,-1.394654,458.557098,422.173096,-1.161207,489.695801,394.197662,-0.911234,514.0401,377.129272,-0.080364,424.837921,365.399719,3.503663,443.059692,321.500214,4.874052,453.259216,292.503418,4.75288,460.858246,270.1633,4.357088,395.254364,356.797943,4.096248,408.399048,307.256012,5.59251,415.546356,272.776611,4.982572,420.46051,248.035904,4.348878,368.060547,358.750885,4.007557,372.781891,314.253357,5.400672,375.729279,282.706879,5.419816,379.036224,259.986053,5.381659,342.542877,369.484528,3.588148,333.040436,336.061859,4.048484,325.887665,314.123138,3.627717,321.810577,294.161987,3.546121,2
9,'2023/10/21 14:52:04:414',2,371.583344,458.374054,-0.00156,423.453583,448.6026,-4.322793,463.529419,422.539337,-5.114916,493.951263,394.9104,-5.970629,517.243835,376.711975,-6.285084,431.669006,365.03009,3.591115,448.997345,322.418243,4.778261,458.064178,293.31955,4.208191,464.521942,270.195129,3.329421,402.652679,356.234772,4.164841,415.400391,308.149872,5.900572,421.340027,273.97113,4.508425,425.158936,248.854095,3.209867,375.354401,357.487427,3.471658,380.267761,314.458771,4.894258,382.110474,283.631439,4.321254,384.252899,261.088776,3.725197,348.809479,367.362976,1.950732,340.383667,335.074066,2.303311,333.60556,313.657318,1.778554,329.599335,293.565826,1.574107,2
10,'2023/10/21 14:52:04:416',2,371.669769,460.172699,-0.001526,423.289459,450.389923,-4.165407,463.470123,424.136566,-5.100522,494.414429,396.038208,-5.913389,518.23407,376.882172,-6.180706,431.901489,368.152557,2.043402,450.564301,324.053345,2.984357,460.38269,294.41861,2.575908,467.47699,271.115662,1.972553,402.894287,359.313019,3.052991,416.410645,309.563141,4.624332,422.578674,274.555573,3.869994,426.588531,248.757935,3.146839,375.722443,360.386047,2.979669,380.560852,316.009613,4.547141,382.338898,283.941376,4.545167,384.470306,260.466339,4.358692,349.698975,369.772339,2.173053,340.416168,336.235291,2.777264,332.911957,313.726257,2.48797,328.239014,292.878296,2.434702,2
11,'2023/10/21 14:52:04:723',2,379.513641,460.50592,-0.001341,430.764313,451.292236,-6.656253,471.417084,424.184814,-8.156308,501.50705,396.876007,-9.836362,524.880859,378.439423,-11.049356,441.680756,363.155945,4.633296,459.528656,321.912109,5.84765,468.908295,293.66153,5.146502,475.573853,270.646576,4.111464,411.746979,353.937988,5.242538,424.038879,307.216797,7.741118,430.286011,274.484406,6.247545,434.895508,249.776016,4.931105,383.4216,354.960205,3.981458,387.986877,312.483856,5.711679,390.410889,283.550659,5.093619,393.130707,262.024323,4.508072,355.306061,364.721558,1.464213,346.999023,332.791656,1.654991,341.397156,312.161102,1.237651,338.450073,292.600739,1.290466,2
12,'2023/10/21 14:52:05:344',2,374.842194,459.642273,-0.001503,426.602264,449.6745,-7.110025,466.998932,423.083008,-8.519517,497.571625,396.248199,-9.960922,523.292175,378.100555,-10.973421,437.152557,364.645752,4.480515,455.547241,324.175293,5.981094,465.033142,296.360199,5.465255,471.455688,273.810577,4.569297,407.937225,355.774384,5.575479,420.887054,309.678375,8.343602,427.192871,277.016174,6.906587,431.285828,252.234894,5.619091,380.442719,356.719513,4.799668,385.740417,315.212311,6.675741,388.002594,286.056152,5.946885,389.882446,263.927246,5.295791,353.377075,365.893738,2.760504,346.330597,334.665894,3.06051,341.216949,314.228394,2.665864,338.008118,294.473907,2.761543,2
